DateUTC,Amount,Symbol,Balance,Type,Pair,FeeSymbol,FeeAmount,Comment
2017-11-11 12:44:46,-90.00,USD,605.45,buy,,,,Buy Order #5001308928
2017-11-11 11:07:52,-0.01000000,BTC,0.47176813,withdraw,,,,up110068244 (100%) 7a4db6c5b0f145d5d3143bc9a03015eecea6eadd6ab09c03...
2017-11-11 08:08:42,-39.99,USD,695.45,buy,,,,Buy Order #5000521971
2017-11-11 08:08:42,0.04031917,BCH,0.32694945,buy,BCH/USD,USD,0.08,Bought 0.04031917 BCH at 990.0997 USD
2017-11-11 02:18:43,-49.99,USD,735.44,buy,,,,Buy Order #4999678028
2017-11-11 02:18:43,0.04037296,BCH,0.28663028,buy,BCH/USD,USD,0.08,Bought 0.04037296 BCH at 991.0096 USD
2017-11-11 02:18:43,0.01000000,BCH,0.24625732,buy,BCH/USD,USD,0.02,Bought 0.01000000 BCH at 989 USD
2017-11-10 22:39:20,-49.99,USD,785.43,buy,,,,Buy Order #4999063273
2017-11-10 22:39:20,0.05388772,BCH,0.23625732,buy,BCH/USD,USD,0.10,Bought 0.05388772 BCH at 925.9994 USD
2017-11-10 20:15:08,-25.00,USD,835.42,buy,,,,Buy Order #4998565008
2017-11-10 20:15:08,0.02495000,BCH,0.18236960,buy,BCH/USD,USD,0.05,Bought 0.02495000 BCH at 1000 USD
2017-11-10 20:14:28,-25.00,USD,860.42,buy,,,,Buy Order #4998562825
2017-11-10 20:14:28,0.02495000,BCH,0.15741960,buy,BCH/USD,USD,0.05,Bought 0.02495000 BCH at 1000 USD
2017-11-10 20:10:26,-49.99,USD,885.42,buy,,,,Buy Order #4998549203
2017-11-10 20:10:26,0.04707547,BCH,0.13246960,buy,BCH/USD,USD,0.10,Bought 0.04707547 BCH at 1059.9999 USD
2017-11-10 20:01:27,-49.99,USD,935.41,buy,,,,Buy Order #4998517060
2017-11-10 20:01:27,0.04711992,BCH,0.08539413,buy,BCH/USD,USD,0.10,Bought 0.04711992 BCH at 1058.9999 USD
2017-11-10 19:53:14,-39.99,USD,985.40,buy,,,,Buy Order #4998494061
2017-11-10 19:53:14,0.03827421,BCH,0.03827421,buy,BCH/USD,USD,0.08,Bought 0.03827421 BCH at 1042.9999 USD
2017-11-10 19:49:49,-49.99,USD,1025.39,buy,,,,Buy Order #4998481585
2017-11-10 19:49:49,0.16366000,ETH,4.05952000,buy,ETH/USD,USD,0.10,Bought 0.16366000 ETH at 304.89999899 USD
2017-11-10 18:29:47,-49.99,USD,1075.38,buy,,,,Buy Order #4998179639
2017-11-10 18:29:47,0.00737075,BTC,0.48176813,buy,BTC/USD,USD,0.10,Bought 0.00737075 BTC at 6770 USD
2017-11-10 18:13:51,-49.99,USD,1125.37,buy,,,,Buy Order #4998119516
2017-11-10 18:13:51,0.00726770,BTC,0.47439738,buy,BTC/USD,USD,0.10,Bought 0.00726770 BTC at 6865.9894 USD
2017-11-10 14:23:10,-49.99,USD,1175.36,buy,,,,Buy Order #4997511378
2017-11-10 14:23:10,0.00708202,BTC,0.46712968,buy,BTC/USD,USD,0.10,Bought 0.00708202 BTC at 7046.0056 USD
2017-11-10 14:21:35,-49.99,USD,1225.35,buy,,,,Buy Order #4997508039
2017-11-10 14:21:35,0.15841200,ETH,3.89586000,buy,ETH/USD,USD,0.10,Bought 0.15841200 ETH at 314.99999999 USD
2017-11-09 23:45:30,-49.99,USD,1275.34,buy,,,,Buy Order #4995197731
2017-11-09 23:45:30,0.15310500,ETH,3.73744800,buy,ETH/USD,USD,0.10,Bought 0.15310500 ETH at 325.91999697 USD
2017-11-09 21:43:43,-99.99,USD,1325.33,buy,,,,Buy Order #4994929211
2017-11-09 21:43:43,0.30243600,ETH,3.58434300,buy,ETH/USD,USD,0.20,Bought 0.30243600 ETH at 329.987 USD
2017-11-09 21:02:11,98.32,USD,1425.32,cancel,,,,Cancel Order #4994834413
2017-11-09 21:01:27,98.70,USD,1327.00,cancel,,,,Cancel Order #4994837594
2017-11-09 21:00:51,-98.70,USD,1228.30,buy,,,,Buy Order #4994837594
2017-11-09 21:00:35,98.32,USD,1327.00,cancel,,,,Cancel Order #4994835461
2017-11-09 21:00:07,-98.32,USD,1228.68,buy,,,,Buy Order #4994835461
2017-11-09 20:59:27,-98.32,USD,1327.00,buy,,,,Buy Order #4994834413
2017-11-09 16:51:54,723.10,USD,1425.32,cancel,,,,Cancel Order #4994301698
2017-11-09 16:51:49,0.10000000,BTC,0.46004766,buy,BTC/USD,USD,0,Bought 0.10000000 BTC at 7232 USD
2017-11-09 16:51:49,-723.20,USD,702.22,buy,,,,Buy Order #4994303543
2017-11-09 16:51:39,0.10000000,BTC,0.36004766,buy,BTC/USD,USD,0,Bought 0.10000000 BTC at 7232 USD
2017-11-09 16:51:38,-723.20,USD,1425.42,buy,,,,Buy Order #4994303096
2017-11-09 16:51:10,723.00,USD,2148.62,cancel,,,,Cancel Order #4994299696
2017-11-09 16:51:02,-723.10,USD,1425.62,buy,,,,Buy Order #4994301698
2017-11-09 16:50:17,-723.00,USD,2148.72,buy,,,,Buy Order #4994299696
2017-11-09 12:30:27,-99.99,USD,2871.72,buy,,,,Buy Order #4993644339
2017-11-09 12:30:27,0.01373295,BTC,0.26004766,buy,BTC/USD,USD,0.20,Bought 0.01373295 BTC at 7267.1921 USD
2017-11-09 12:28:49,-99.99,USD,2971.71,buy,,,,Buy Order #4993640281
2017-11-09 12:28:49,0.01373196,BTC,0.24631471,buy,BTC/USD,USD,0.20,Bought 0.01373196 BTC at 7267.7158 USD
2017-11-09 11:22:07,-99.99,USD,3071.70,buy,,,,Buy Order #4993465899
2017-11-09 11:22:07,0.01365253,BTC,0.23258275,buy,BTC/USD,USD,0.20,Bought 0.01365253 BTC at 7310 USD
2017-11-08 07:14:38,300.15,USD,3171.69,cancel,,,,Cancel Order #4989355451
2017-11-08 07:14:36,300.11,USD,2871.54,cancel,,,,Cancel Order #4989348879
2017-11-08 07:14:09,-300.99,USD,2571.43,buy,,,,Buy Order #4989411527
2017-11-08 07:14:09,0.99679400,ETH,3.28190700,buy,ETH/USD,USD,0.61,Bought 0.99679400 ETH at 301.35599999 USD
2017-11-08 06:38:02,-300.15,USD,400.42,buy,,,,Buy Order #4989355451
2017-11-08 06:35:36,-300.11,USD,700.57,buy,,,,Buy Order #4989348879
2017-11-08 06:34:18,1000.00,USD,1000.68,deposit,,,,Credit card: XXXX-XXXX-XXXX-4008 Completed
2017-11-08 00:41:16,-99.99,USD,0.68,buy,,,,Buy Order #4988702939
2017-11-08 00:41:16,0.00126655,BTC,0.21893022,buy,BTC/USD,USD,0.01,Bought 0.00126655 BTC at 7279.585 USD
2017-11-08 00:41:16,0.01244428,BTC,0.21766367,buy,BTC/USD,USD,0.19,Bought 0.01244428 BTC at 7279.5849 USD
2017-11-08 00:40:13,100.00,USD,100.67,deposit,,,,Credit card: XXXX-XXXX-XXXX-9551 Completed
2017-11-07 17:27:54,2472.00,USD,2872.42,deposit,,,,Bank Transfer Completed
2017-11-05 18:08:35,0.01,USD,0.67,costsNothing,,,,Reimbursed excess for order #4978816451
2017-11-05 18:08:35,0.28000000,ETH,2.28511300,buy,ETH/USD,USD,0,Bought 0.28000000 ETH at 302.3 USD
2017-11-05 17:57:02,0.04000000,BTC,0.20521939,buy,BTC/USD,USD,0,Bought 0.04000000 BTC at 7690 USD
2017-11-05 17:54:10,-84.65,USD,0.66,buy,,,,Buy Order #4978816451
2017-11-05 17:51:18,-307.60,USD,85.31,buy,,,,Buy Order #4978803338
2017-11-05 17:50:34,306.40,USD,392.91,cancel,,,,Cancel Order #4978714276
2017-11-05 17:33:12,-306.40,USD,86.51,buy,,,,Buy Order #4978714276
2017-11-05 17:32:24,380.00,USD,392.91,cancel,,,,Cancel Order #4978565556
2017-11-05 17:11:48,0.01,USD,12.91,costsNothing,,,,Reimbursed excess for order #4978605024
2017-11-05 17:11:48,0.00376201,BTC,0.16521939,buy,BTC/USD,USD,0,Bought 0.00376201 BTC at 7695 USD
2017-11-05 17:11:40,0.01223799,BTC,0.16145738,buy,BTC/USD,USD,0,Bought 0.01223799 BTC at 7695 USD
2017-11-05 17:09:51,-123.12,USD,12.90,buy,,,,Buy Order #4978605024
2017-11-05 17:09:17,122.93,USD,136.02,cancel,,,,Cancel Order #4978588269
2017-11-05 17:05:49,-122.93,USD,13.09,buy,,,,Buy Order #4978588269
2017-11-05 17:01:33,-380.00,USD,136.02,buy,,,,Buy Order #4978565556
2017-11-05 16:54:13,250.00,USD,516.02,deposit,,,,Credit card: XXXX-XXXX-XXXX-8499 Completed
2017-11-05 16:53:08,250.00,USD,266.02,deposit,,,,Credit card: XXXX-XXXX-XXXX-9551 Completed
2017-11-04 17:48:46,-303.99,USD,16.02,buy,,,,Buy Order #4972224326
2017-11-04 17:48:46,0.41900300,ETH,2.00511300,buy,ETH/USD,USD,0.25,Bought 0.41900300 ETH at 303.69699899 USD
2017-11-04 17:48:46,0.58000000,ETH,1.58611000,buy,ETH/USD,USD,0.36,Bought 0.58000000 ETH at 303.696 USD
2017-11-04 17:43:02,320.00,USD,320.01,deposit,,,,Credit card: XXXX-XXXX-XXXX-8499 Completed
2017-11-03 13:38:52,350.00,USD,0.01,deposit,,,,Credit card: XXXX-XXXX-XXXX-8499 Rejected
2017-11-03 08:57:50,200.00,USD,0.01,deposit,,,,Credit card: XXXX-XXXX-XXXX-9551 Rejected
2017-11-03 08:57:13,200.00,USD,0.01,deposit,,,,Credit card: XXXX-XXXX-XXXX-8499 Rejected
2017-11-03 08:19:30,500.00,USD,0.01,deposit,,,,Credit card: XXXX-XXXX-XXXX-8499 Rejected
2017-11-03 06:55:54,2500.00,USD,0.67,deposit,,,,Bank transfer transaction rebooked
2017-11-02 22:45:09,2000.00,USD,pending,deposit,,,,Bank Transfer 
2017-11-02 22:38:56,-287.79,USD,0.01,buy,,,,Buy Order #4959052684
2017-11-02 22:38:56,0.03734242,BTC,0.14921939,buy,BTC/USD,USD,18.83,Bought 0.03734242 BTC at 7202.7986 USD
2017-11-02 22:37:42,-312.24,USD,287.80,buy,,,,Buy Order #4959044957
2017-11-02 22:37:42,0.59524000,ETH,1.00611000,buy,ETH/USD,USD,12.08,Bought 0.59524000 ETH at 290.05099995 USD
2017-11-02 22:37:42,0.41087000,ETH,0.41087000,buy,ETH/USD,USD,8.35,Bought 0.41087000 ETH at 290.05099994 USD
2017-11-02 22:35:28,1000.00,USD,pending,deposit,,,,Bank Transfer 
2017-11-02 22:34:45,600.00,USD,600.04,deposit,,,,Credit card: XXXX-XXXX-XXXX-8499 Completed
2017-11-02 22:32:40,500.00,USD,0.04,deposit,,,,Credit card: XXXX-XXXX-XXXX-9551 Rejected
2017-11-02 14:58:30,-199.99,USD,0.04,buy,,,,Buy Order #4953846647
2017-11-02 14:58:30,0.02629973,BTC,0.11187697,buy,BTC/USD,USD,13.09,Bought 0.02629973 BTC at 7106.915 USD
2017-11-02 14:58:01,200.00,USD,200.03,deposit,,,,Credit card: XXXX-XXXX-XXXX-8499 Completed
2017-11-02 14:55:03,-299.99,USD,0.03,buy,,,,Buy Order #4953802542
2017-11-02 14:55:03,0.03948951,BTC,0.08557724,buy,BTC/USD,USD,19.63,Bought 0.03948951 BTC at 7099.86 USD
2017-11-02 14:53:43,300.00,USD,300.02,deposit,,,,Credit card: XXXX-XXXX-XXXX-8499 Completed
2017-11-02 14:41:11,100.00,USD,0.02,deposit,,,,Credit card: XXXX-XXXX-XXXX-9551 Rejected
2017-11-02 14:35:30,-149.99,USD,0.02,buy,,,,Buy Order #4953539275
2017-11-02 14:35:30,0.01947754,BTC,0.04608773,buy,BTC/USD,USD,9.82,Bought 0.01947754 BTC at 7197.0056 USD
2017-11-02 14:34:57,50.00,USD,150.01,deposit,,,,Credit card: XXXX-XXXX-XXXX-9551 Rejected
2017-11-02 14:33:52,100.00,USD,150.01,deposit,,,,Credit card: XXXX-XXXX-XXXX-9551 Completed
2017-11-02 12:55:08,299.00,USD,50.01,deposit,,,,Credit card: XXXX-XXXX-XXXX-9551 Rejected
2017-11-02 12:30:11,-199.99,USD,50.01,buy,,,,Buy Order #4952019573
2017-11-02 12:30:11,0.02661019,BTC,0.02661019,buy,BTC/USD,USD,13.09,Bought 0.02661019 BTC at 7023.9999 USD
2017-11-02 12:28:13,100.00,USD,250.00,deposit,,,,Credit card: XXXX-XXXX-XXXX-9551 Completed
2017-11-02 12:26:55,150.00,USD,150.00,deposit,,,,Credit card: XXXX-XXXX-XXXX-9551 Completed
